date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險)
2025-09-09,TAIEX,8091742979,512534389842,24650.46,24880.07,24650.46,24855.18,204.72000000000116,7300931209.4,7426672496.0,7668085270.2,24435.458000000002,24325.525,24248.419499999996,0.017176760100015228,0.021773630784947037,0.025022682406166886,38526893843,35653694959,0,-1782067231,-593301300,5248567415
2025-09-10,TAIEX,8693632992,540470187649,25032.88,25272.23,25032.88,25192.59,159.70999999999913,7796610239.2,7528499724.0,7659518101.05,24653.916,24392.794,24289.548000000003,0.021849429518620858,0.03278820786171516,0.03717821344390589,57674044343,48947944283,0,-2727385240,1408535101,10044950199
2025-09-11,TAIEX,9553641157,609494103234,25509.3,25541.44,25174.13,25215.71,-293.59000000000015,8216279018.2,7721923743.4,7740101541.45,24861.088,24490.72,24338.428499999998,0.014264138399735338,0.02960264132700051,0.03604511688172476,28501291028,32999661731,0,-6271656501,-3293217011,5066502809
2025-09-12,TAIEX,7830621434,495051339127,25349.7,25492.28,25349.7,25474.64,124.93999999999869,8387727449.8,7733314482.7,7735967501.6,25057.1,24614.874,24395.4365,0.01666354047355843,0.034928718302600276,0.04423792540051495,25670421666,26538500007,0,-5810072034,1220408612,3721585081
2025-09-15,TAIEX,6958333955,407891369036,25494.1,25519.94,25284.17,25357.16,-136.9399999999987,8225594503.4,7640895926.1,7660900947.15,25219.056,24743.416999999998,24439.1685,0.005476176427856751,0.02480429441091351,0.03756230495321476,-4703837224,2546248589,0,-8246829092,-276707377,1273450656
2025-09-16,TAIEX,7560459055,455107630117,25335.46,25664.81,25335.46,25629.64,294.1800000000003,8119337718.6,7710134464.0,7624931750.3,25373.947999999997,24904.703,24502.975499999997,0.010076949791179629,0.029108437872156036,0.045980721810704284,23591286670,27003531062,0,-4513790695,-1551866087,2653412390
2025-09-17,TAIEX,7849906030,439687060953,25543.91,25632.07,25422.96,25438.25,-105.65999999999985,7950592326.2,7873601282.7,7586839871.8,25423.079999999998,25038.498,24593.615999999998,0.0005967018944990888,0.015965494415839176,0.034343628037455,-11634659183,-5734012058,0,-5314277279,-634644981,48275135
2025-09-18,TAIEX,8339290249,467374300986,25543.17,25769.36,25475.25,25769.36,226.19000000000233,7707722144.6,7962000581.4,7654284453.55,25533.809999999998,25197.449,24683.9775,0.009225023605956296,0.022697178591372484,0.043971134716842115,17228408262,12153720716,0,-4987795065,3850575418,6211907193
2025-09-19,TAIEX,9787714693,619694769912,25794.66,25864.01,25578.37,25578.37,-216.29000000000087,8099140796.4,8243434123.1,7815084203.75,25554.556,25305.828,24774.6725,0.0009318886229132092,0.01076993015205816,0.03244028755576883,-12267657124,-15745036443,0,-1937327805,1346021137,4068685987
2025-09-22,TAIEX,7847993700,482061403631,25599.6,25887.69,25599.6,25880.6,281.0,8277072745.4,8251333624.4,7847388494.25,25659.244,25439.15,24854.8335,0.00862675455286211,0.017353174143003875,0.041270302615384565,-4151157011,-6650808558,0,-5264117265,2908896339,4854872473
2025-09-23,TAIEX,8950246446,547004847440,26121.0,26307.3,26041.69,26247.37,126.36999999999898,8555030223.6,8337183971.1,7881928233.55,25782.789999999997,25578.369,24951.947,0.01801899639255495,0.026154951474818437,0.051916710146907526,12274599104,10638719207,0,-1569628564,559066577,2646441884
2025-09-24,TAIEX,7897848080,515187636594,26389.16,26394.03,26045.47,26196.73,-192.4300000000003,8564618633.6,8257605479.9,7893052601.95,25934.485999999997,25678.783,25035.7885,0.010111787062215247,0.020170231587688565,0.046371277661176956,-14565959202,-12950186461,0,-8566887088,3152965887,3798148460
2025-09-25,TAIEX,8846470892,503204151623,26067.97,26247.85,26023.85,26023.85,-44.12000000000262,8666054762.2,8186888453.4,7954406098.4,25985.384,25759.597,25125.158499999998,0.0014802936912535274,0.010258429120610736,0.03576859027575889,5382828825,106720086,0,-1741264243,1588402683,5428970299
2025-09-26,TAIEX,8334201118,500052396638,25998.28,25998.28,25469.04,25580.32,-417.9599999999991,8375352047.2,8237246421.8,7985280452.25,25985.773999999998,25770.165,25192.519500000002,-0.015602921814066341,-0.007366852327100007,0.015393478210863249,-35335558189,-25157852509,0,-5652013477,-139467047,-4386225156
2025-09-30,TAIEX,6699602406,455296213373,25738.31,25975.84,25738.31,25820.54,82.22999999999956,8145673788.4,8211373266.9,7926134596.5,25973.762,25816.503,25279.96,-0.00589910695262388,0.00015637284414547786,0.021383736366671537,13242429356,6550967708,0,696563422,3561841572,2433056654
2025-10-01,TAIEX,7679791251,468840061902,26078.29,26325.79,25982.91,25982.91,-95.38000000000102,7891582749.4,8223306486.5,7966720475.25,25920.870000000003,25851.829999999998,25378.266499999998,0.0023934381832090216,0.005070434085324008,0.02382524826902586,16595101819,12664964009,0,633133899,3075916302,221087609
2025-10-02,TAIEX,8085314896,506683446386,26392.31,26489.79,26330.25,26378.39,-13.920000000001892,7929076112.6,8246847373.1,8060224327.9,25957.201999999997,25945.844,25492.171,0.016226248114107288,0.016671109253566716,0.03476435961456562,32469988020,23409818512,0,237157488,3928741172,4894270848
2025-10-03,TAIEX,7772849192,475762166441,26435.1,26761.06,26410.03,26761.06,325.96000000000276,7714351772.6,8190203267.4,8076101924.4,26104.644,26045.014000000003,25621.2315,0.02514556413793657,0.02749263256299261,0.044487654701531404,21320756058,16959990133,0,-1689575342,2736525762,3313815505
